name,type,cube,rel,var,den,n=10,n=100,n=1000,n=10000,n=100000
Y_2_II310_A,sa1,8,0,17,1.5869140625e-02,1.4782556400e-01,7.9803085893e-01,9.9999988706e-01,1.0000000000e+00,1.0000000000e+00
Y_3_II311_A,sa0,5,0,16,7.5683593750e-03,7.3157330027e-02,5.3220002288e-01,9.9949811760e-01,1.0000000000e+00,1.0000000000e+00
Y_3_II311_A,sa1,5,0,15,1.5136718750e-02,1.4146212507e-01,7.8243221471e-01,9.9999976235e-01,1.0000000000e+00,1.0000000000e+00
II409_P_5_B,sa0,5,0,12,1.5429687500e-01,8.1285451508e-01,9.9999994730e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
W,sa0,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_1_II314_B,sa0,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Clear,sa0,8,0,10,2.6367187500e-01,9.5314953645e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II409_P_5_B,sa1,1,0,8,3.9062500000e-03,3.8382958384e-02,3.2388353489e-01,9.8003749113e-01,1.0000000000e+00,1.0000000000e+00
W,sa1,4,0,4,9.3750000000e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_1_II314_B,sa1,9,0,18,3.1494140625e-02,2.7385638147e-01,9.5924083760e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
X,sa0,29,0,19,4.3334960938e-01,9.9658687711e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Clear,sa1,8,0,10,2.6367187500e-01,9.5314953645e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II113_II131_1_A,sa0,2,0,5,9.3750000000e-02,6.2633691437e-01,9.9994693576e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
X_II40_A,sa0,4,0,6,2.3437500000e-01,9.3079124123e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
X,sa1,13,0,19,4.3334960938e-01,9.9658687711e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Z,sa0,9,0,18,3.7451171875e-01,9.9083374839e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II113_II131_1_A,sa1,4,0,5,2.8125000000e-01,9.6320586674e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_3_II316_A,sa0,1,0,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
X_II508_1_A,sa0,10,0,18,1.2548828125e-01,7.3838879846e-01,9.9999849837e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_1_II309_A,sa0,7,0,18,3.1005859375e-02,2.7018714401e-01,9.5713378934e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
X_II40_A,sa1,4,0,6,2.3437500000e-01,9.3079124123e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Z,sa1,11,0,18,6.2548828125e-01,9.9994571822e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II100_II135_2_B,sa0,3,0,4,4.3750000000e-01,9.9682878806e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II100,sa0,9,0,6,7.6562500000e-01,9.9999949984e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_3_II316_A,sa1,7,0,16,8.0566406250e-03,7.7707358611e-02,5.5466437747e-01,9.9969318658e-01,1.0000000000e+00,1.0000000000e+00
X_II508_1_A,sa1,1,0,2,2.5000000000e-01,9.4368648529e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_5_II252_A,sa0,3,0,9,1.3671875000e-02,1.2860679022e-01,7.4756956582e-01,9.9999894945e-01,1.0000000000e+00,1.0000000000e+00
Y_1_II309_A,sa1,7,0,17,6.2011718750e-02,4.7280154897e-01,9.9834140155e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II100_II135_2_B,sa1,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II100,sa1,3,0,6,1.0937500000e-01,6.8598614042e-01,9.9999067845e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_5_II252_A,sa1,3,0,9,1.3671875000e-02,1.2860679022e-01,7.4756956582e-01,9.9999894945e-01,1.0000000000e+00,1.0000000000e+00
Y_4_II317_A,sa0,1,0,7,7.8125000000e-03,7.5434863403e-02,5.4356900259e-01,9.9960757984e-01,1.0000000000e+00,1.0000000000e+00
Y_4_II317_A,sa1,6,0,15,4.1503906250e-03,4.0737265069e-02,3.4025556601e-01,9.8437725481e-01,1.0000000000e+00,1.0000000000e+00
Y_2_II347_A,sa0,6,0,17,1.5380859375e-02,1.4358800706e-01,7.8775991838e-01,9.9999981453e-01,1.0000000000e+00,1.0000000000e+00
Y_5_II406_B,sa0,3,0,14,1.7089843750e-03,1.6959012677e-02,1.5721604543e-01,8.1921491967e-01,9.9999996271e-01,1.0000000000e+00
Y_6_II370_A,sa0,2,0,13,7.3242187500e-04,7.3001259567e-03,7.0649220058e-02,5.1938571216e-01,9.9934239247e-01,1.0000000000e+00
Y_6_II244_A,sa0,2,0,9,6.4453125000e-02,4.8636391817e-01,9.9872192823e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_5_II244_B,sa0,2,0,9,6.4453125000e-02,4.8636391817e-01,9.9872192823e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II378_P_7_B,sa0,7,0,16,1.5576171875e-01,8.1607091527e-01,9.9999995569e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II104_II135_1_B,sa0,3,0,4,4.3750000000e-01,9.9682878806e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II202,sa0,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II310,sa0,9,0,17,1.5869140625e-02,1.4782556400e-01,7.9803085893e-01,9.9999988706e-01,1.0000000000e+00,1.0000000000e+00
Y_2_II347_A,sa1,6,0,16,3.0761718750e-02,2.6834627511e-01,9.5604018263e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_5_II406_B,sa1,3,0,13,3.4179687500e-03,3.3658737644e-02,2.8992333433e-01,9.6741239734e-01,1.0000000000e+00,1.0000000000e+00
Y_6_II370_A,sa1,2,0,12,1.4648437500e-03,1.4552254196e-02,1.3635352663e-01,7.6913396748e-01,9.9999956987e-01,1.0000000000e+00
Y_6_II244_A,sa1,2,0,9,6.4453125000e-02,4.8636391817e-01,9.9872192823e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_5_II244_B,sa1,2,0,9,6.4453125000e-02,4.8636391817e-01,9.9872192823e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II378_P_8_B,sa0,7,0,17,7.7880859375e-02,5.5550142953e-01,9.9969890490e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II378_P_7_B,sa1,1,0,10,9.7656250000e-04,9.7228212237e-03,9.3082656509e-02,6.2357620194e-01,9.9994288230e-01,1.0000000000e+00
II104_II135_1_B,sa1,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II104,sa0,3,0,3,8.7500000000e-01,9.9999999907e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II202,sa1,2,0,4,1.8750000000e-01,8.7461843207e-01,9.9999999904e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II113,sa0,4,0,6,2.3437500000e-01,9.3079124123e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II311,sa0,5,0,15,1.5136718750e-02,1.4146212507e-01,7.8243221471e-01,9.9999976235e-01,1.0000000000e+00,1.0000000000e+00
II310,sa1,1,0,5,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_7_II371_A,sa0,1,0,10,9.7656250000e-04,9.7228212237e-03,9.3082656509e-02,6.2357620194e-01,9.9994288230e-01,1.0000000000e+00
II378_P_8_B,sa1,1,0,11,4.8828125000e-04,4.8720976218e-03,4.7666556569e-02,3.8639292465e-01,9.9243335102e-01,1.0000000000e+00
II109_II131_2_B,sa0,1,0,5,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II104,sa1,1,0,3,1.2500000000e-01,7.3692442384e-01,9.9999841217e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II113_II127_2_B,sa0,3,0,6,1.0937500000e-01,6.8598614042e-01,9.9999067845e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II113,sa1,8,0,6,7.0312500000e-01,9.9999468215e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II311,sa1,5,0,16,7.5683593750e-03,7.3157330027e-02,5.3220002288e-01,9.9949811760e-01,1.0000000000e+00,1.0000000000e+00
Y_7_II371_A,sa1,2,0,12,7.3242187500e-04,7.3001259567e-03,7.0649220058e-02,5.1938571216e-01,9.9934239247e-01,1.0000000000e+00
II3,sa0,4,0,6,1.2500000000e-01,7.3692442384e-01,9.9999841217e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II109_II131_2_B,sa1,4,0,5,4.6875000000e-01,9.9820943772e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II341_II307_1_A,sa0,16,0,17,1.4282226563e-01,7.8585456790e-01,9.9999979719e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II113_II127_2_B,sa1,6,0,6,3.2812500000e-01,9.8125502714e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_8_II372_A,sa0,1,0,11,4.8828125000e-04,4.8720976218e-03,4.7666556569e-02,3.8639292465e-01,9.9243335102e-01,1.0000000000e+00
Y_6_II374_A,sa0,1,0,9,1.9531250000e-03,1.9360479644e-02,1.7757952141e-01,8.5844045473e-01,9.9999999677e-01,1.0000000000e+00
II3,sa1,6,0,6,8.7500000000e-01,9.9999999907e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II4,sa0,3,0,5,1.2500000000e-01,7.3692442384e-01,9.9999841217e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II341_II307_1_A,sa1,4,0,14,7.3242187500e-03,7.0874748554e-02,5.2055076123e-01,9.9935816066e-01,1.0000000000e+00,1.0000000000e+00
II341,sa0,20,0,18,2.9516601563e-01,9.6974003934e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II350,sa0,14,0,18,2.7905273438e-01,9.6206544534e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II314,sa0,10,0,18,2.8149414063e-01,9.6333065595e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_5_II196_A,sa0,1,0,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
Y_6_II195_A,sa0,3,0,9,1.3671875000e-02,1.2860679022e-01,7.4756956582e-01,9.9999894945e-01,1.0000000000e+00,1.0000000000e+00
Y_4_II368_A,sa0,4,0,15,3.6621093750e-03,3.6023452643e-02,3.0710938250e-01,9.7449373864e-01,1.0000000000e+00,1.0000000000e+00
Y_8_II372_A,sa1,1,0,11,4.8828125000e-04,4.8720976218e-03,4.7666556569e-02,3.8639292465e-01,9.9243335102e-01,1.0000000000e+00
Y_7_II194_A,sa0,1,0,8,3.9062500000e-03,3.8382958384e-02,3.2388353489e-01,9.8003749113e-01,1.0000000000e+00,1.0000000000e+00
Y_8_II193_A,sa0,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_7_II248_A,sa0,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_6_II374_A,sa1,3,0,13,1.2207031250e-03,1.2140193838e-02,1.1497986161e-01,7.0519724988e-01,9.9999504190e-01,1.0000000000e+00
II261,sa0,2,0,9,5.8593750000e-03,5.7072691692e-02,4.4437454227e-01,9.9719572009e-01,1.0000000000e+00,1.0000000000e+00
II4,sa1,5,0,5,8.7500000000e-01,9.9999999907e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II252,sa0,18,0,9,8.6132812500e-01,9.9999999737e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II5,sa0,2,0,4,1.2500000000e-01,7.3692442384e-01,9.9999841217e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II341,sa1,5,0,15,1.5136718750e-02,1.4146212507e-01,7.8243221471e-01,9.9999976235e-01,1.0000000000e+00,1.0000000000e+00
II350,sa1,7,0,17,6.2011718750e-02,4.7280154897e-01,9.9834140155e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II314,sa1,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_5_II196_A,sa1,1,0,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
Y_6_II195_A,sa1,3,0,9,1.3671875000e-02,1.2860679022e-01,7.4756956582e-01,9.9999894945e-01,1.0000000000e+00,1.0000000000e+00
Y_4_II368_A,sa1,4,0,14,7.3242187500e-03,7.0874748554e-02,5.2055076123e-01,9.9935816066e-01,1.0000000000e+00,1.0000000000e+00
Y_7_II194_A,sa1,1,0,8,3.9062500000e-03,3.8382958384e-02,3.2388353489e-01,9.8003749113e-01,1.0000000000e+00,1.0000000000e+00
Y_8_II193_A,sa1,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_7_II248_A,sa1,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II261,sa1,14,0,9,7.4414062500e-01,9.9999879770e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II406,sa0,3,0,13,3.4179687500e-03,3.3658737644e-02,2.8992333433e-01,9.6741239734e-01,1.0000000000e+00,1.0000000000e+00
II252,sa1,3,0,9,1.3671875000e-02,1.2860679022e-01,7.4756956582e-01,9.9999894945e-01,1.0000000000e+00,1.0000000000e+00
II5,sa1,4,0,4,8.7500000000e-01,9.9999999907e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II109,sa0,2,0,6,4.6875000000e-02,3.8127365236e-01,9.9177783661e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II316,sa0,10,0,18,3.0493164063e-01,9.7368064804e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II6,sa0,1,0,3,1.2500000000e-01,7.3692442384e-01,9.9999841217e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II370,sa0,2,0,12,1.4648437500e-03,1.4552254196e-02,1.3635352663e-01,7.6913396748e-01,9.9999956987e-01,1.0000000000e+00
II244,sa0,4,0,9,1.9335937500e-01,8.8337251597e-01,9.9999999953e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_5_II369_A,sa0,1,0,8,3.9062500000e-03,3.8382958384e-02,3.2388353489e-01,9.8003749113e-01,1.0000000000e+00,1.0000000000e+00
II155,sa0,4,0,9,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
II406,sa1,18,0,18,2.7172851563e-01,9.5803057164e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II317,sa0,10,0,18,3.0883789063e-01,9.7512293081e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II109_II127_1_C,sa0,1,0,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
II109,sa1,8,0,6,7.0312500000e-01,9.9999468215e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II316,sa1,1,0,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
II6,sa1,3,0,3,8.7500000000e-01,9.9999999907e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II370,sa1,2,0,13,7.3242187500e-04,7.3001259567e-03,7.0649220058e-02,5.1938571216e-01,9.9934239247e-01,1.0000000000e+00
II371,sa0,2,0,12,7.3242187500e-04,7.3001259567e-03,7.0649220058e-02,5.1938571216e-01,9.9934239247e-01,1.0000000000e+00
II244,sa1,2,0,9,6.4453125000e-02,4.8636391817e-01,9.9872192823e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_5_II369_A,sa1,5,0,14,2.1972656250e-03,2.1756665439e-02,1.9745577423e-01,8.8916172866e-01,9.9999999972e-01,1.0000000000e+00
II155,sa1,9,0,9,9.8437500000e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II156,sa0,3,0,8,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
II317,sa1,1,0,7,7.8125000000e-03,7.5434863403e-02,5.4356900259e-01,9.9960757984e-01,1.0000000000e+00,1.0000000000e+00
II318,sa0,1,0,7,7.8125000000e-03,7.5434863403e-02,5.4356900259e-01,9.9960757984e-01,1.0000000000e+00,1.0000000000e+00
II192,sa0,16,0,9,4.3945312500e-01,9.9693719493e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II109_II127_1_C,sa1,4,0,6,2.3437500000e-01,9.3079124123e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II309,sa0,7,0,17,6.2011718750e-02,4.7280154897e-01,9.9834140155e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II371,sa1,1,0,10,9.7656250000e-04,9.7228212237e-03,9.3082656509e-02,6.2357620194e-01,9.9994288230e-01,1.0000000000e+00
II372,sa0,1,0,11,4.8828125000e-04,4.8720976218e-03,4.7666556569e-02,3.8639292465e-01,9.9243335102e-01,1.0000000000e+00
II156,sa1,8,0,8,9.8437500000e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II261_II283_2_B,sa0,1,0,8,3.9062500000e-03,3.8382958384e-02,3.2388353489e-01,9.8003749113e-01,1.0000000000e+00,1.0000000000e+00
II157,sa0,2,0,7,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
II256,sa0,6,0,6,9.8437500000e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II409,sa0,20,0,18,2.8930664063e-01,9.6712826897e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II318,sa1,4,0,10,1.5234375000e-01,8.0848725315e-01,9.9999993363e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II265,sa0,4,0,9,2.9296875000e-02,2.5721302854e-01,9.4887388698e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II192,sa1,4,0,9,2.9296875000e-02,2.5721302854e-01,9.4887388698e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II490,sa0,11,0,18,6.2548828125e-01,9.9994571822e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II244_II283_1_B,sa0,2,0,8,1.1718750000e-02,1.1119690418e-01,6.9235094430e-01,9.9999240451e-01,1.0000000000e+00,1.0000000000e+00
II309,sa1,7,0,18,3.1005859375e-02,2.7018714401e-01,9.5713378934e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II193,sa0,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II372,sa1,1,0,11,4.8828125000e-04,4.8720976218e-03,4.7666556569e-02,3.8639292465e-01,9.9243335102e-01,1.0000000000e+00
II446,sa0,10,0,18,6.2548828125e-01,9.9994571822e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II374,sa0,9,0,18,3.1176757813e-01,9.7615752812e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II261_II283_2_B,sa1,7,0,8,4.9609375000e-01,9.9894440470e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II157,sa1,7,0,7,9.8437500000e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II158,sa0,1,0,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
II256,sa1,1,0,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
II409,sa1,4,0,14,7.3242187500e-03,7.0874748554e-02,5.2055076123e-01,9.9935816066e-01,1.0000000000e+00,1.0000000000e+00
II265,sa1,20,0,9,9.0820312500e-01,9.9999999996e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II347,sa0,6,0,16,3.0761718750e-02,2.6834627511e-01,9.5604018263e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II248,sa0,3,0,4,4.3750000000e-01,9.9682878806e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II490,sa1,10,0,18,2.5048828125e-01,9.4405203750e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II244_II283_1_B,sa1,1,0,8,3.9062500000e-03,3.8382958384e-02,3.2388353489e-01,9.8003749113e-01,1.0000000000e+00,1.0000000000e+00
II43_II109_A,sa0,2,0,6,4.6875000000e-02,3.8127365236e-01,9.9177783661e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II193,sa1,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II194,sa0,1,0,8,3.9062500000e-03,3.8382958384e-02,3.2388353489e-01,9.8003749113e-01,1.0000000000e+00,1.0000000000e+00
II446,sa1,9,0,18,3.7451171875e-01,9.9083374839e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II374,sa1,1,0,9,1.9531250000e-03,1.9360479644e-02,1.7757952141e-01,8.5844045473e-01,9.9999999677e-01,1.0000000000e+00
II158,sa1,6,0,6,9.8437500000e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II265_II283_1_A,sa0,2,0,8,1.1718750000e-02,1.1119690418e-01,6.9235094430e-01,9.9999240451e-01,1.0000000000e+00,1.0000000000e+00
II347,sa1,18,0,18,2.9223632813e-01,9.6845847597e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II248,sa1,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II43_II109_A,sa1,2,0,6,4.6875000000e-02,3.8127365236e-01,9.9177783661e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II195,sa0,3,0,9,1.3671875000e-02,1.2860679022e-01,7.4756956582e-01,9.9999894945e-01,1.0000000000e+00,1.0000000000e+00
II194,sa1,1,0,8,3.9062500000e-03,3.8382958384e-02,3.2388353489e-01,9.8003749113e-01,1.0000000000e+00,1.0000000000e+00
II484,sa0,10,0,18,6.2548828125e-01,9.9994571822e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II265_II283_1_A,sa1,10,0,8,3.6328125000e-01,9.8904842981e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II195,sa1,3,0,9,1.3671875000e-02,1.2860679022e-01,7.4756956582e-01,9.9999894945e-01,1.0000000000e+00,1.0000000000e+00
II196,sa0,1,0,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
II494,sa0,11,0,18,6.2548828125e-01,9.9994571822e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II484,sa1,2,0,9,3.5156250000e-02,3.0085077677e-01,9.7209392258e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II252_II287_2_B,sa0,6,0,7,4.9218750000e-01,9.9885966128e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II368,sa0,4,0,14,7.3242187500e-03,7.0874748554e-02,5.2055076123e-01,9.9935816066e-01,1.0000000000e+00,1.0000000000e+00
II196,sa1,1,0,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
II495,sa0,18,0,18,3.2666015625e-01,9.8084231012e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II494,sa1,14,0,18,2.5634765625e-01,9.4827511779e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II198,sa0,9,0,9,9.8437500000e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II261_II279_1_C,sa0,1,0,9,1.9531250000e-03,1.9360479644e-02,1.7757952141e-01,8.5844045473e-01,9.9999999677e-01,1.0000000000e+00
II378,sa0,14,0,18,2.3364257813e-01,9.3012631023e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II252_II287_2_B,sa1,1,0,7,7.8125000000e-03,7.5434863403e-02,5.4356900259e-01,9.9960757984e-01,1.0000000000e+00,1.0000000000e+00
II368,sa1,4,0,15,3.6621093750e-03,3.6023452643e-02,3.0710938250e-01,9.7449373864e-01,1.0000000000e+00,1.0000000000e+00
II369,sa0,5,0,14,2.1972656250e-03,2.1756665439e-02,1.9745577423e-01,8.8916172866e-01,9.9999999972e-01,1.0000000000e+00
II495,sa1,11,0,18,6.2548828125e-01,9.9994571822e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II198,sa1,4,0,9,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
II199,sa0,8,0,8,9.8437500000e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II487,sa0,2,0,8,2.3437500000e-02,2.1113909478e-01,9.0667363815e-01,9.9999999995e-01,1.0000000000e+00,1.0000000000e+00
